RYAN,1996,1,2,1996,12,27
S,1996,1,2,2013,7,2
SAI,1997,7,17,1998,12,31
SAPE,2000,5,5,2002,5,10
SCG,2009,1,2,2018,12,24
SEBL,2000,5,5,2006,1,30
SEG,1996,8,16,2000,11,20
SFA,1996,1,2,2006,2,17
SFS,1996,1,2,1997,7,25
SGID,1996,1,2,2000,6,20
SGP,1996,1,2,2009,10,29
SIAL,1996,1,2,2015,11,17
SLR,1998,12,31,2007,10,1
SNDK,2006,4,20,2016,5,11
SNI,2008,7,1,2018,2,28
SNT,1996,1,2,1999,10,25
SOTR,1999,3,1,2004,10,28
SOV,2004,7,1,2009,1,28
SPLS,1998,10,7,2017,9,12
SRR,1996,1,2,1997,10,6
STI,1996,1,2,2019,12,5
STJ,1996,1,2,2017,1,3
SUNEQ,2007,5,31,2011,12,14
SVU,1996,1,2,2012,4,30
SWY,1998,11,13,2015,1,15
SXCL,1999,10,1,2001,5,10
SYMC,2003,3,31,2019,10,18
TE,2001,10,10,2016,6,27
TEK,1996,1,2,2007,11,13
TIE,2007,10,29,2012,12,21
TIF,2000,6,21,2020,12,21
TIN,1996,1,2,2007,12,27
TLAB,1996,1,2,2011,12,20
TMC.A,1996,1,2,2000,6,9
TMK,1996,1,2,2019,7,15
TOS,1999,9,20,2001,9,10
TOY,1996,1,2,2005,7,21
TRB,1996,1,2,2007,12,17
TRW,1996,1,2,2002,12,9
TSS,2008,1,2,2019,8,9
TWC,2009,3,30,2016,5,17
TWX,1996,1,2,2018,6,14
TXU,1996,1,2,2007,10,9
UAWGQ,1996,1,2,2002,5,14
UCM,1996,1,2,2000,10,19
UN,1996,1,2,2002,7,18
UPC,1998,10,1,2004,6,28
UTX,1996,1,2,2020,3,3
VIAB,2006,1,3,2019,11,21
VSTNQ,2000,6,29,2005,12,29
VTSS,2000,12,12,2002,8,19
WAMUQ,1997,7,2,2008,9,26
WCG,2018,9,17,2019,12,23
WCOEQ,1996,4,1,2002,5,14
WFM,2006,1,3,2017,8,17
WFT,2005,7,22,2009,2,25
WIN,2006,7,18,2015,3,31
WLP,1999,6,9,2004,11,26
WNDXQ,1996,1,2,2004,12,2
WPX,2012,1,3,2014,3,12
WWY,1996,1,2,2008,10,6
WYE,1996,1,2,2009,10,15
WYND,2006,8,1,2018,5,24
XTO,2004,12,29,2010,6,21
YNR,2000,1,6,2000,10,2
YRCW,1996,1,2,1996,10,28
